Description,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments
Individual_Cells,,,,,,,
SIAVL_neurite,ABplpapappa,,test,wormguides/models/obj_files/ABplpapappa,1,1,
CEPDR_neurite,ABarpapaappa,,test,wormguides/models/obj_files/ABarpapaappa,1,1,
RICR_neurite,ABprppaaaapp,,test,wormguides/models/obj_files/ABprppaaaapp,1,1,
AVM_neurite,ABprapapaaapaa,,test,wormguides/models/obj_files/ABprapapaaapaa,1,1,
ADLR_neurite,ABpraaapaad,,test,wormguides/models/obj_files/ABpraaapaad,1,1,
IL1DL_neurite,ABalapappaaa,,test,wormguides/models/obj_files/ABalapappaaa,1,1,
SDQL_neurite,ABplapapaaapap,,test,wormguides/models/obj_files/ABplapapaaapap,1,1,
SABVR_neurite,ABprppapaaaa,,test,wormguides/models/obj_files/ABprppapaaaa,1,1,
ASJL_neurite,ABalpppppppa,,test,wormguides/models/obj_files/ABalpppppppa,1,1,
IL2VR_neurite,ABarapppppp,,test,wormguides/models/obj_files/ABarapppppp,1,1,
SIBDL_neurite,ABplppaaaaa,,test,wormguides/models/obj_files/ABplppaaaaa,1,1,
ASKL_neurite,ABalpppapppa,,test,wormguides/models/obj_files/ABalpppapppa,1,1,
PVQL_neurite,ABplapppaaa,,test,wormguides/models/obj_files/ABplapppaaa,1,1,
RIVR_neurite,ABprpaapaaa,,test,wormguides/models/obj_files/ABprpaapaaa,1,1,
SAAVR_neurite,ABprpaaaaaa,,test,wormguides/models/obj_files/ABprpaaaaaa,1,1,
ALNR_neurite,ABprapappppap,,test,wormguides/models/obj_files/ABprapappppap,1,1,
BDUL_neurite,ABarppaappp,,test,wormguides/models/obj_files/ABarppaappp,1,1,
IL1L_neurite,ABalapaappaa,,test,wormguides/models/obj_files/ABalapaappaa,1,1,
AWBL_neurite,ABalpppppap,,test,wormguides/models/obj_files/ABalpppppap,1,1,
AVBL_neurite,ABplpaapaap,,test,wormguides/models/obj_files/ABplpaapaap,1,1,
AVKL_neurite,ABplpapapap,,test,wormguides/models/obj_files/ABplpapapap,1,1,
RIVL_neurite,ABplpaapaaa,,test,wormguides/models/obj_files/ABplpaapaaa,1,1,
AVKR_neurite,ABprpapapap,,test,wormguides/models/obj_files/ABprpapapap,1,1,
RMGL_neurite,ABplapaaapp,,test,wormguides/models/obj_files/ABplapaaapp,1,1,
AIML_neurite,ABplpaapppa,,test,wormguides/models/obj_files/ABplpaapppa,1,1,
IL1R_neurite,ABalaappppaa,,test,wormguides/models/obj_files/ABalaappppaa,1,1,
OLQVR_neurite,ABprpaaappaa,,test,wormguides/models/obj_files/ABprpaaappaa,1,1,
IL2R_neurite,ABalaappppp,,test,wormguides/models/obj_files/ABalaappppp,1,1,
URBR_neurite,ABpraapaapa,,test,wormguides/models/obj_files/ABpraapaapa,1,1,
URBL_neurite,ABplaapaapa,,test,wormguides/models/obj_files/ABplaapaapa,1,1,
SMDDR_neurite,ABprpapaaaa,,test,wormguides/models/obj_files/ABprpapaaaa,1,1,
SMBDR_neurite,ABarappapapp,,test,wormguides/models/obj_files/ABarappapapp,1,1,
SMBDL_neurite,ABalpapapapp,,test,wormguides/models/obj_files/ABalpapapapp,1,1,
RMDVR_neurite,ABarapppaaa,,test,wormguides/models/obj_files/ABarapppaaa,1,1,
RIH_neurite,ABprpappaaa,,test,wormguides/models/obj_files/ABprpappaaa,1,1,
RID_neurite,ABalappaapa,,test,wormguides/models/obj_files/ABalappaapa,1,1,
SMDDL_neurite,ABplpapaaaa,,test,wormguides/models/obj_files/ABplpapaaaa,1,1,
SIADL_neurite,ABplpapaapa,,test,wormguides/models/obj_files/ABplpapaapa,1,1,
AFDL_neurite,ABalpppapav,,test,wormguides/models/obj_files/ABalpppapav,1,1,
AINL_neurite,ABalaaaalal,,test,wormguides/models/obj_files/ABalaaaalal,1,1,
DVC_neurite,Caapaa,,test,wormguides/models/obj_files/Caapaa,1,1,
RIBR_neurite,ABprpaappap,,test,wormguides/models/obj_files/ABprpaappap,1,1,
PLNL_neurite,ABplappppppppap,,test,wormguides/models/obj_files/ABplappppppppap,1,1,
OLQDR_neurite,ABalapppapaa,,test,wormguides/models/obj_files/ABalapppapaa,1,1,
AIAL_neurite,ABplppaappa,,test,wormguides/models/obj_files/ABplppaappa,1,1,
FLPR_neurite,ABprapaaapad,,test,wormguides/models/obj_files/ABprapaaapad,1,1,
AIZL_neurite,ABplapaaapav,,test,wormguides/models/obj_files/ABplapaaapav,1,1,
AVER_neurite,ABpraaaaaaa,,test,wormguides/models/obj_files/ABpraaaaaaa,1,1,
ADLL_neurite,ABalppppaad,,test,wormguides/models/obj_files/ABalppppaad,1,1,
CANL_neurite,ABalapaaapa,,test,wormguides/models/obj_files/ABalapaaapa,1,1,
ASER_neurite,ABpraaapppaa,,test,wormguides/models/obj_files/ABpraaapppaa,1,1,
AIYR_neurite,ABprpapaaap,,test,wormguides/models/obj_files/ABprpapaaap,1,1,
ASEL_neurite,ABalppppppaa,,test,wormguides/models/obj_files/ABalppppppaa,1,1,
SMBVL_neurite,ABalpapappp,,test,wormguides/models/obj_files/ABalpapappp,1,1,
ALA_neurite,ABalapppaaa,,test,wormguides/models/obj_files/ABalapppaaa,1,1,
BAGL_neurite,ABalppappap,,test,wormguides/models/obj_files/ABalppappap,1,1,
OLLL_neurite,ABalppppapaa,,test,wormguides/models/obj_files/ABalppppapaa,1,1,
IL2L_neurite,ABalapaappp,,test,wormguides/models/obj_files/ABalapaappp,1,1,
PVCL_neurite,ABplpppaapaa,,test,wormguides/models/obj_files/ABplpppaapaa,1,1,
AIMR_neurite,ABprpaapppa,,test,wormguides/models/obj_files/ABprpaapppa,1,1,
CEPshVL_neurite,ABplpaaapap,,test,wormguides/models/obj_files/ABplpaaapap,1,1,
RMER_neurite,ABalaaaarrp,,test,wormguides/models/obj_files/ABalaaaarrp,1,1,
BAGR_neurite,ABarappppap,,test,wormguides/models/obj_files/ABarappppap,1,1,
URAVR_neurite,ABprpaaapaa,,test,wormguides/models/obj_files/ABprpaaapaa,1,1,
CEPshDR_neurite,ABarpaaapap,,test,wormguides/models/obj_files/ABarpaaapap,1,1,
CEPshDL_neurite,ABarpaaaapp,,test,wormguides/models/obj_files/ABarpaaaapp,1,1,
CEPVL_neurite,ABplpaappppa,,test,wormguides/models/obj_files/ABplpaappppa,1,1,
URYDR_neurite,ABalapppapp,,test,wormguides/models/obj_files/ABalapppapp,1,1,
URYDL_neurite,ABalapapapp,,test,wormguides/models/obj_files/ABalapapapp,1,1,
RIPR_neurite,ABarappaaaa,,test,wormguides/models/obj_files/ABarappaaaa,1,1,
GLRDL_neurite,MSaaaaaal,,test,wormguides/models/obj_files/MSaaaaaal,1,1,
OLQDL_neurite,ABalapapapaa,,test,wormguides/models/obj_files/ABalapapapaa,1,1,
RIPL_neurite,ABalpapaaaa,,test,wormguides/models/obj_files/ABalpapaaaa,1,1,
GLRVR_neurite,MSppaaaav,,test,wormguides/models/obj_files/MSppaaaav,1,1,
RIAR_neurite,ABalaapppaa,,test,wormguides/models/obj_files/ABalaapppaa,1,1,
AVAR_neurite,ABalaappapa,,test,wormguides/models/obj_files/ABalaappapa,1,1,
GLRR_neurite,MSppaaaad,,test,wormguides/models/obj_files/MSppaaaad,1,1,
URXL_neurite,ABplaaaaappp,,test,wormguides/models/obj_files/ABplaaaaappp,1,1,
