Tag Name,Tag Contents,Tag Display,"Callout Offsets (horizontal, vertical)",Attachment Type,xyz Location,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments,Visible,Author,Date,Color Scheme Url
Tour of the Tract and Simplified Single Cell Shape Model,Highlights the features of the abstracted tract and single cell outgrowth model. Emphasis on nerve ring development as revealed by characterization of several lim-4 expressing cells,,,,,,,,,,,,,"Anthony Santella Bao lab, Mark and Titas, Colon-Ramos lab",27-Dec,http://scene.wormguides.org/wormguides/testurlscript?/set/saavl-n$@+#ffff0000/sibd-n$@+#ffe6ccff/avl-n$@+#ff0000ff/avg-n$@+#ffffff00/rip-n$@+#ff99cc99/rih-n$@+#ff99cc99/siav-n$+#ffffffff/smdd-n$+#ffffffff/siad-n$+#ffffffff/sibv-n$+#ffffffff/saavr-n$@+#ffff6666/smdv-n$+#ffffffff/riv-n$+#ffffffff/view/time=360/rX=0.0/rY=0.0/rZ=0.0/tX=-14.0/tY=18.0/scale=2.75/dim=0.25/browser/
Birth of SAAVL,SAAVL is an interneuron and (sublateral) motor neuron in the lateral ganglia of the head. This neuron sends its process anteriorly within the sublateral cords in the head.,sprite,,cell,,ABplpaaaaaa,,,,258,259,,,,,
Birth of SIBDR,SIBDR is an interneuron and (sublateral) motor neuron in the lateral ganglia of the head. This neuron sends its process posteriorly within the sublateral cords.,sprite,,cell,,ABprppaaaaa,,,,259,260,,,,,
Birth of SIBDL,SIBDL is an interneuron and (sublateral) motor neuron in the lateral ganglia of the head. This neuron sends its process posteriorly within the sublateral cords.,sprite,,cell,,ABplppaaaaa,Abplpapappa,,,263,264,,,,,
Lim-4 Expression ,"Lim-4 expression is found in 8 neuron pairs.  Single cell outgrowth is characterized for 3 of these cells, SIBDL/R and SAAVL. Uncharacterized cells have their nuclei marked in white.",overlay,,,,,,,,277,287,,,,,
Appearance of Tract Model,"The tract model represents the paths taken by groups of cells labeled by CND-1 and UNC-86 markers. Though traced from visible structures in membrane labeled images the tracts anticipate the topology of the network formed by neural outgrowth, e.g. the amphid commissure tract anticipates the outgrowth of cnd-1 positive cells through the  amphid commissure.",overlay,,,,,,,,316,317,,,,,
Neurite Outgrowth of SIBDL/R Begins,Outgrowth is segmented in an embryo lacking label in most lim-4 cells,sprite,,cell,,ABplppaaaaa,,,,316,317,,,,,
Outgrowth along Tract,The measured lengths of neuron outgrowth from cells individually labeled in different embryos are threaded through tracts. Temporal alignment is based on nuclear positions.,sprite,,cell,,ABprppaaaaa ,,,,318,320,,,,,
SAAVL outgrowth,RIV believed to grow out about the same time.,sprite,,cell,,ABplpaaaaaa,,,,337,338,,,,,
Outgrowth Asymmetry in L/R Symmetric Pair,"SIBD's-although they are bilaterally symmetrical, they do not travel through the nerve ring at the same rate.",sprite,,cell,,ABplppaaaaa,,,,344,352,,,,,
Multicellular Structure,"When single cell data are not available, outgrowth can be segmented and displayed that is reliably  assigned to a small set of cells that grow into the tract. The relative locations of cells within the structure remain unknown. ",sprite,,cell,,ABprpappaaa,,,,352,353,,,,,
Fasciculation of SIBDL and SAAVL,Both cells have entered the nerve ring. ,sprite,,cell,,ABplpaaaaaa,,,,355,356,,,,,
Multiple Cells Within a Tract,"To maximize the visibility of individual cell data in the same tract, neurites are drawn as 'pipes' routed through tracts in what are (for now at least) arbitrary relative positions. ",sprite,,cell,,ABplpaaaaaa ,,,,357,358,,,,,
Nerve Ring Closure,SAAVL crosses the midline. The closure of the nerve ring generally occurs between the comma to 1.5 fold stages.,sprite,,cell,,ABplpaaaaaa,,,,363,378,,,,,
SAAVL Reaches Right Side,SAAVL reaches the around the nerve ring to location of SAAVR,sprite,,cell,,ABplpaaaaaa,,,,378,380,,,,,
